| Gap ID | Control category | Gap type | Gap statement | Status label | Related risk | Related threat | Evidence basis | Missing evidence | Gap severity candidate | Remediation priority | Later validation method |
| GAP-10-010 | Connector controls | Missing control gap | No dedicated evidence path proving credential encryption, rotation, or lifecycle hardening was found in this pass. | MISSING-CANDIDATE | CONN-05 | TH-05 | CC-18; PHASE 9 connector evidence; source: backend/onyx/db/credentials.py; backend/onyx/auth/oauth_token_manager.py; backend/onyx/auth/oauth_refresher.py | Credential storage design evidence, rotation evidence, and live secret posture review. | High gap candidate | P1 candidate | Review credential storage implementation and execute rotation/lifecycle validation. |
| GAP-10-011 | Agent/tool/MCP controls | Partial control gap | Tool/MCP source candidates exist; live exposure, authorization, and approval behavior are not validated. | PARTIAL-CANDIDATE | AGENT-01 / AGENT-02 / TOOL-01 / TOOL-02 / TOOL-03 / TOOL-04 | TH-07 / TH-11 | CC-19 / CC-20; PHASE 9 agent/tool/MCP evidence; source: backend/onyx/server/features/tool/api.py; backend/onyx/server/features/tool/tool_visibility.py; backend/onyx/mcp_server/api.py; backend/onyx/mcp_server/auth.py | MCP endpoint inventory, tool authorization results, and approval-flow evidence. | High gap candidate | P1 candidate | Run tool/MCP policy and exposure review with recorded results. |
| GAP-10-012 | Agent/tool/MCP controls | Unverified control gap | Sandbox and hook files suggest relevant surfaces, but approval and isolation controls are not evidenced. | UNVERIFIED | AGENT-03 / AGENT-04 / TOOL-05 | TH-07 / TH-12 | CC-21; PHASE 9 unverified agent/tool coverage; source: backend/onyx/hooks/registry.py; backend/onyx/hooks/executor.py; backend/onyx/server/features/build/sandbox/util/agent_instructions.py | Runtime sandbox isolation and approval-flow evidence. | Unverified gap | Unverified | Perform controlled sandbox/tool approval validation without exploit claims. |
| GAP-10-013 | Logging/telemetry controls | Residual-risk gap | Tracing and masking candidates exist; live log/telemetry content was not inspected. | IMPLEMENTED-CANDIDATE | LOG-01 / LOG-02 / LOG-03 / LOG-04 / PI-05 | TH-10 / TH-13 / TH-15 | CC-22 / CC-23; PHASE 9 logging/telemetry evidence; source: backend/onyx/tracing/flows.py; backend/onyx/tracing/llm_utils.py; backend/onyx/tracing/masking.py; backend/onyx/tracing/langfuse_tracing_processor.py | Runtime log samples and sink redaction evidence. | Medium gap candidate | P2 candidate | Inspect generated traces/logs in a safe test environment and confirm sensitive fields handling. |
| GAP-10-014 | Logging/telemetry controls | Missing control gap | No dedicated redaction-proof or telemetry-content validation evidence was found. | MISSING-CANDIDATE | LOG-05 | TH-10 | CC-24; PHASE 9 logging/telemetry evidence; source: backend/onyx/tracing/masking.py; backend/onyx/server/metrics/metrics_server.py; backend/onyx/tracing/langfuse_tracing_processor.py | End-to-end redaction proof and telemetry sink inspection. | High gap candidate | P1 candidate | Create controlled telemetry samples and verify stored/exported content. |
| GAP-10-015 | Deployment/CI controls | Partial control gap | Deployment source candidates exist; live deployment hardening was not inspected. | PARTIAL-CANDIDATE | DEP-01 / DEP-02 / DEP-06 | TH-12 / TH-15 | CC-25 / CC-26; PHASE 9 deployment/CI evidence; source: backend/Dockerfile; web/Dockerfile; deployment/docker_compose/docker-compose.yml; deployment/helm/charts/onyx/templates/configmap.yaml | Runtime container, Helm, nginx, and Terraform validation evidence. | High gap candidate | P1 candidate | Perform deployment hardening review against deployed configuration. |
| GAP-10-016 | Deployment/CI controls | CI validation gap | No GitHub Actions workflow directory or CI execution output was available in the current checkout. | MISSING-CANDIDATE | DEP-03 / DEP-04 / DEP-05 | TH-16 | CC-27; MISSING-TEST-005; source: NOT FOUND — .github/workflows/* in current checkout; pyproject.toml; backend/uv.lock; web/package.json | Workflow files and CI run logs if CI exists outside the checkout. | High gap candidate | P1 candidate | Inventory CI/CD outside the checkout and collect execution evidence. |
| GAP-10-017 | Secrets/configuration controls | Partial control gap | Secret wiring and credential files are mapped, but live secret handling and rotation evidence are unavailable. | PARTIAL-CANDIDATE | CONN-05 / DEP-02 / DEP-06 | TH-05 / TH-15 / TH-16 | CC-18 / CC-26; PHASE 9 connector and deployment evidence; source: deployment/helm/charts/onyx/templates/auth-secrets.yaml; deployment/terraform/modules/aws/onyx/main.tf; backend/onyx/db/credentials.py | Secret manager configuration, rotation records, and deployed configuration review. | High gap candidate | P1 candidate | Review deployed secret-management configuration and credential rotation procedures. |
| GAP-10-018 | Test/evidence controls | Missing test/evidence gap | Test/evidence mappings exist, but no test execution or CI result evidence was collected. | PARTIAL-CANDIDATE | All PHASE 7 mapped risks | All PHASE 6 mapped threats | All PHASE 8 control candidates; PHASE 9 control-to-test map, existing tests index, missing tests, unverified coverage; source: rag-security-readiness-review/02_evidence/phase_9/control_to_test_map.md; rag-security-readiness-review/02_evidence/phase_9/existing_tests_index.md; rag-security-readiness-review/02_evidence/phase_9/missing_tests.md | Executed test results, CI artifacts, and pass/fail records. | High gap candidate | P1 candidate | Run approved tests/CI in a later phase and attach outputs. |
| GAP-10-019 | Governance/evidence controls | Compensating-control gap | Governance artifacts improve traceability but do not directly close technical control gaps. | COMPENSATING-CANDIDATE | All PHASE 7 mapped risks | All PHASE 6 mapped threats | PHASE 8/9 reports and limitations; PHASE 9 evidence map and limitations; source: rag-security-readiness-review/03_reports; rag-security-readiness-review/02_evidence; docs/security | Approval records, owner sign-off, and runtime validation artifacts. | Informational gap | P2 candidate | Review governance artifacts with control owners and attach approvals. |
| GAP-10-020 | Governance/evidence controls | Documentation/evidence gap | Limitation records reduce interpretation risk but do not prove any application control. | COMPENSATING-CANDIDATE | All PHASE 7 mapped risks | All PHASE 6 mapped threats | PHASE 8/9/10A limitations; PHASE 9 limitations; source: rag-security-readiness-review/02_evidence/phase_8/risk_to_code_limitations.md; rag-security-readiness-review/02_evidence/phase_9/phase_9_limitations.md; rag-security-readiness-review/02_evidence/phase_10/authorization_review/authorization_review_limitations.md | Original source, working-copy baseline, runtime, CI, and production evidence. | Informational gap | P2 candidate | Update limitations after later validation phases and approval review. |
| GAP-10-021 | Deployment/CI controls | Production validation gap | Production behavior was not validated for deployment, runtime configuration, or live traffic paths. | UNVERIFIED | DEP-01 / DEP-02 / DEP-06 | TH-15 | PHASE 8 deployment mappings; PHASE 9 limitations; PHASE 10 limitations | Production deployment inspection, logs, configuration snapshots, and owner attestations. | Unverified gap | Unverified | Inspect production-like deployment under approved scope. |
| GAP-10-022 | Governance/evidence controls | Documentation/evidence gap | Original source and working-copy comparison evidence remain unavailable, limiting baseline confidence. | UNVERIFIED | All PHASE 7 mapped risks | All mapped PHASE 6 threats | PHASE 8/9/10A limitations and current checkout metadata | Original source manifest, working-copy baseline, and approved comparison record. | Unverified gap | Unverified | Obtain original source and working-copy evidence, then repeat comparison. |
